"","num","title","content"
"83",108,"estp 성격 다들 나랑 비슷함?","         estp 남자고일단 생각나는대로 써봄 (단점위주). 절제력, 자제력 없음 -> 주위에서 유혹하면 바로 현혹됨  ( 뭐 도를믿습니다나 다단계 이런건 절대 안넘어가고 , 학원째자 or 술먹자 등등). 충동적 -> 갑자기 사고싶은거 생기면 오늘 바로 사야됨 ( 하고싶은것도 마찬가지). 작심삼일 ( 짧게는 작심 0일이고, 길게는 몇달도 가는데, 제일 중요한건 끝까지는 못감). 자기주관 뚜렷 ( 전문가나 누가 말해도 내가 아닌거 같으면 절대 안믿음 , 친구한테 성향적으로 영향을 받기보다는 영향을 주는 스타일 ) . 완벽주의 ( 너무 완벽하게 하려해서 시작조차 못할때 많음. 혹은 시작하고 얼마안가서 지치고 포기함 ). 술자리 좋아하고, 그런 자리가면 다른사람들 기 빨아서 나는 충전된 느낌. 친하거나 편한애들한텐 맨날 내가 먼저 놀자고함. ( 상대방 입장에선 귀찮을정도로 자주 그럼, 별로 안친한 사람이 나한테 놀자하면 그건 내가 귀찮음 ). 당일 약속 좋아함.  ( 그날 갑자기 놀고싶어져서 그날 바로 약속잡아야됨. 만약 친구가 다음에 만나자하면 '그땐 내가 안놀고 싶어할거 같은데' 라고 속으로 생각). 관심 어느 정도 받는건 좋아하는데, 지나치게 받는건 안좋아함 = 적당한 관종. 가끔 마음 잘맞는 친구 생기면 신나서 사소한거까지 다 말함 ( 만나서 얘기하거나, 카톡같은거로 얘기하는 것만으로도 충전되는 느낌 ). 한번 흥분해서 화내거나 빵 터트리더라도 바로 안정을 잘취함. 나는 선을 엄청 잘지킨다고 생각하는데, 가끔씩 선넘어서 다른 사람 상처줌 ( 장난치다 나도 모르게 그런거 같은데, 오래 알고 지낸 여사친 같은경우 한번씩은 장난치다 울린듯 ) --> 생각나는대로 계속 업뎃중인데, 다들 나랑 얼마나 비슷함?     (너무 뻔하게 estp특징같은건 일부러 안적었음)        "
"84",109,"엣팁 여자인데 우리가 젤 쎄고잘난거같지않움?","나는 애니어 8번임애니어마다 다 다른듯 같은 유형인데나보다 어정쩡하게 쎄면 기 죽도록 팍 눌러버리거싶고진짜 제대로 쎄고 멋있으면 존경하게됨 (=잘없음) 살면서 1-2명글고 EXFX애들 귀찮고동족 ESTP 남자 싫음 감히..? 이런 생각이 들지않음?친구로선 ㄱㅊ은데 연애상대로는 아가리 쥰나터는게마음에 안듬우린 고분고분하고 말 잘듣는 사람을 만나야혀남자도 마찬가지"
"85",110,"하루종일 아무것도 하지 않고","침대에만 누워서 폰만 들여다보면 ㅈㄴ 무기력해지지 않음? 오늘 아무것도 한것도 없고 걍 그런생각 들면 기분 개잡치지 않냐 나만 그런가"
"86",113,"동족부를때 우리애들 이라는 말이 좋음ㅋㅋㅋ","다른유형들은 분신이니 친구니 그러는데우리애들 이러면 좋음ㅋㅋㅋㅋㅋ먼가 대장같아서 느그들도 그래써라엣팁보면 우리애들 이라고 ㅋㅋㅋㅋㅋ하고 ㅋㅋㅋㅋ"
"87",114,"내 베프하고 남친 유형 이건데 니들은 뭐야","베프 ISFP12년째 싸움없이 잘지내고서로 오해하거나 삐지는일 없음연락 2주간 안하다가 다시해도 어색한거 없고한달만에 만나서 놀아도 사이좋음남친 ISTJ6년 사귀고 4년째 같이 사는중인데아직도 서로 매우 좋아하고 잘지냄 남친은 되게 노잼성격인데 나 하는짓거리보고 맨날 재밌어함니들 베프나 남친 여친 유형뭐냐"
"88",115,"애니어 엣팁7번하고 8번 차이가 머냐?","둘다 부번호는 7-8이랑 8-7일테고엣팁7번8번 젤 큰 차이점이 뭐임?"
"89",116,"여기 갤 사람 없을수밖에 없는게","한국인의 6프로밖에안된다네 근데 그런 특이한 유형인 내 자신이 좋지않냐 "
"90",117,"내가 본 estp들도 잠을 안 자던데","니네 왜 안 자냐? 언제 잠?"
"91",118,"밑에 애니어그램? 있길래 첨봐서 해봤는데","여지없네"
"92",120,"남자 엣팁들한테 질문","너네 데이트 할때 여자한테 돈 반반내자 이렇게 거리낌없이 말할수있음?(오래사귄사이 제외하고 썸이거나 사귀는 극초반)"
"93",121,"엣팁인데 이거 공감됨?","관심 받을 일 생기면 하루종일 흐뭇함 생각나고 기분좋음내가 하는 말 친구들 사이에서 유행됨 걍 의미없는 말 있잖아술약속 잡을 때 나만 항상 먼저 연락해서 좀 서운함주말에 오는 카톡 답장하기 귀찮아서 밤에 몰아서 답장함"
"94",123,"너희 ENFP랑 잘맞음?","나 ㄹㅇ 인생친구 만난것같아서 요즘 재밌음"
"95",124,"estp 시험 공부 특징","         (중간고사 한달전)시험 3주전쯤에 공부 시작하면 평균 100점은 나오겠네?이번에 전교 1등하고 다 깜짝 놀래켜야지 ㅋㅋ(중간고사 3주전)2주남기고 공부해도 되겠지?2주전부터 시작해도 95점정돈 받겠네 ㅋㅋ(중간고사 2주전)아 공부하기 ㅈㄴ싫네..시간 많은데 걍 일주일 전부터 시작하고 90점 정도만 맞자(일주일 전)아직 시간 많잖아?하루만.. 하루만 더놀고 내일부터 공부 하자(시험 3일전)아 ㅈ됐다!!!!이젠 미룰 시간도없네???ㅅㅂ ---> 이때부터 공부 ㅈㄴ하고 성적 괜찮게 받음-------------------------------------------------------------------시험 기간마다 이 패턴 반복        "
"96",125,"나무위키보고 들옴ㅋㅅㅋ","estp 여잔데 걍 내 성격 사이코같음 다들 인정하는거지?"
"97",126,"ESTP 성향인데 안맞는사람은 때려죽어도 안맞음","         위계질서 중요하고 수직적 인간관계를 가질려는 꼰대마인드들하고 항상 부딪침어딜가더라도 부딪쳐서 회사에서 꼰대 상사만나면 피티기게 전쟁함꼭 그런 상사만나면 그 상사는 뒤에서 정치질 시전사장님은 뒤로 내편 다들어줌하도 갈등 골이 깊어서 누가 나가야될 상황이었는데그 상사가 짤림동호회 생활이나 일반 선후배사이에서도 꼭 꼰대마인드 심한 선배나 형만나면끝이 안좋음여기서도 꼭 정치질 하는부류가 있는데참다참다 형동생 하지말고 뜨자면서반말로 쌍욕 갈기는경우가 1~2년에 한번씩 생김그 유형이 무슨유형인지 모르겠는데항상 나랑 부딪침그유형특징나이중요시하는 꼰대마인드(동생하고는 무조건 수직적관계)내로남불 심함앞에서 싫은소리 못하는스타일(겉과속다름)정의로운척 하기좋아하는사람원칙주의자 (일의 효율이 떨어지더라도 원칙중시)술담배여자(유흥을 싫어하는스타일) - 회식때 밥만먹고 집에가는스타일저런성향이 뭐가 있지? mbti중에         "
"98",127,"지각 존나 하는 사람없냐?","지각좀 고쳐야되는데 개병신같네 "
"99",128,"팩트) MBTI 이딴 좆구라검사 한다는 자체가 개병신찐따","반박못하죠 "
"100",129,"estp 성격 고치고싶다 ㅈ같네","         estp 성격다른건 다 마음에 드는데줫나 충동적이라 끈기 없는거 없애고싶음뭔가 하고싶은 목표생기면 첨에만 의욕적으로 하고갑자기 하기싫어져서 접어버리는데내가 이것만 아니었어도 이미 목표 몇개 이루고 ㅆㅅㅌㅊ 인생으로 살았겠지최소한 마지막 성향이 p가아니라 j만 됐었어도 가능한거 아니냐?진짜 독서실에 공부하다가도 갑자기 다른거 하고싶은 생각들면바로 그쪽으로 가버림분명 10초전까진 공부할만하네 ~ 이런생각 갖다가도 홀린듯이 하고싶은거 생기면 바로 다른거 해버림혹시 estp 중에 성격고치고끈기 있는애좀 있냐?있으면 조언좀해주라 어케 고치냐? 진짜 ㅈ같다        "
"101",130,"친구 너무 불러내는것도 좋지는 않음","         내가 이런식으로 젤 친한 친구한테 손절 2번 당하고 성격 고쳤다나는 같이 있으면 편하고 안정감 느끼니까 진짜 맨~~~ 날 불러내고나오기 귀찮다해도 제발 나오라고 엄청 꼬시면서 겨우불러냈는데(만나도 같이 할건 없음. 어렸을때라 돈있으면 술마시고 없으면 담배피면서 노가리나 까고)내가 불러낸거라 돈도 내가 거의 다쓰고 그런식이라도난 좋았고, 내 친구도 내가 돈내는거니까 괜찮을거라 생각했었는데걔네는 내가 혼자 있는거 방해하는게 엄청 싫었었나봄이런식으로 1~2년 괴롭?히면 상대방이 나 손절한다.첨에는 다른 친구한테 내가 불러낸친구가 나 엄청 귀찮아서 싫어한단 소리듣고 충격 먹었었었는데듣자마자 그자리에서 인정하고 그럴수도 있다고 생각하긴 했었음물론 지금은 많이 고치고, 상대방이 싫다하면 귀찮게 안함 (사회화)        "
"102",131,"estp는 뒤에 A인지 T인지가 젤 중요한듯","         ESTP-A인경우 ESTP 성격이랑 맞아서 진짜 ESTP 그자체가 됨T인경우는 여러모로 피곤해짐 외적으론 당당해 보이고 ESTP인것처럼 보이지만, 뒤 돌아서면 혼자서는 생각도 많이하고 상처도 잘받고         "
"103",133,"Estp인 내가 좋은 이유","관종이지만 타인한테 관심없음. 경쟁사회에서 비교당하면서 쉽게 우울해지다가도 금방 회복됨. 내가 가진 장점이 너무 많이 보여서ㅋㅋㅋㅋ공감능력이 떨어지니까 주변사람한테 안좋은 평가 받을 수 있는거 인정. 근데 어느정도 받아칠수있는 능력 생기고 부터는 공감능력 과해서 감정 널뛰기 뛰는애들보다는 낫다고 생각들고 가끔은 너무 차가운 내가 무섭지만 그것도 중요한 결정 할때 매우 도움되기때문에 그런 내가 꽤나 맘에듬계획과 인내 부족할때 있지만 그것도 단타로 치고빠지는 프로젝트성에서는 엄청 강하고, 인내보다는 경쟁, 목표의식 세워두는 등환경만 조절 잘해주면 이 세상 살아가기 낫밷"
"104",135,"estp가 원래 이렇게 많았었음?","         초 중 고 mbti 인구 조사 라는데고등학생 같은경우 표본 4500명 정도.estp 엄청 희귀한 유형인줄 알았는데 젤 많은편이었네 아니면 나이들면서 estp에서 변하는건가??링크 https://cafe.naver.com/mbticafe/268185        "
"105",136,"이성격인데 23살까지 모솔아다=자살하셈","일단 나부터 "
"106",137,"애들아 질문있어","유투브 보기 vs 여친이랑 카톡하기 나 ㅈㄴ 닥전인데 나만 그러냐 카톡 ㅈㄴ 귀찮음 만든놈 개 패고싶은데"
"107",138,"나만 intp애들 이해 안가냐","Intp 유형특징이 ㅈㄴ갑자기 궁금해서 방금 보고왔는데 넘 이해안감 나만 그러냐"
"108",139,"너희한테 의지하는 애들 어떰","딱히 별거 하지는 않았는데 여러 사람 만날 때상대방이 너희 존재 자체에 안심을 해서마음속으로 의지하느라 시선 고정집중물론 딱히 말은 없고 뭐해달라 찡찡 이런게 아니라주로 주변에 조용히 맴돌고 너네 하는 말 들어주는 사람"
"109",140,"estp 스킨쉽 좋아함?","애인이 (없으면 있다 치고)막 자꾸 껴안고 손잡고팔짱끼고 스킨쉽 좋아한다고 가정해봐엣팁 자체가 스킨쉽 좋아하긴 하나??"
"110",141,"estp는 차분한면도 많아?","좋아하는 사람이 estp인데 좀 차분해보였는데 의외로 엣팁이더라구"
